ID;PLZ;Region;Strassenname;Anzahl_Mitarbeiter;Jahresumsatz;Verkaufsflaeche
772;22549;Hamburg-Osdorf;Bornheide 9;23160;7720;77200
773;22761;Hamburg-Bahrenfeld;Bahrenfelder Chaussee 41;20098;10049;80392
774;22549;Hamburg-Lurup;Kressenweg 34;58050;19350;116100
775;21706;Drochtersen;Gauensieker Str. 47;2325;775;7750
776;22869;Schenefeld;Altonaer Chaussee 14;23280;11640;104760
777;20357;Hamburg-Eimsbüttel;Altonaer Str. 10;12432;6216;62160
778;20539;Hamburg-Rothenburgsort;Ausschläger Allee 174;18672;6224;43568
779;21781;Cadenberge;Schumacherstr. 2;35834;17917;125419
780;21035;Hamburg-Allermöhe;Rahel-Varnhagen-Weg 26;25740;8580;68640
781;26506;Norden-Norddeich;Gewerbestr. 14;65604;21868;109340
782;20537;Hamburg;Ausschläger Allee 174;35972;17986;161874
783;20099;Hamburg-St.Georg;Steindamm 94;58725;19575;97875
784;22525;Hamburg-Stellingen;Kieler Str. 310;65856;21952;109760
785;20255;Hamburg-Lokstedt;Eidelstedter Weg 24;3140;1570;14130
786;20144;Hamburg-Harvestehude;Grindelberg 53-55;7860;3930;35370
787;22525;Hamburg;Kieler Str. 595;7083;2361;16527
788;20535;Hamburg-Hamm;Carl-Petersen-Str. 55-57;28368;14184;113472
789;22113;Hamburg-Horn;Horner Brückenweg 12-14;14202;4734;47340
790;20537;Hamburg-Hamm;Hübbesweg 4;56880;18960;113760
791;21031;Hamburg-Lohbrügge;Lohbrügger Landstr. 126;26894;13447;134470
792;21502;Geesthacht;Spandauer Str. 2-4;47520;15840;79200
793;22115;Hamburg-Billstedt;Asbrookdamm 37;6344;3172;15860
794;25436;Moorrege;Moorreger Chaussee 4;69078;23026;115130
795;22111;Hamburg-Billstedt;Reclamstr. 19;22260;11130;89040
796;22085;Hamburg-Barmbek;Winterhuder Weg 76;59700;19900;119400
797;21762;Otterndorf;Liebesweg 4-4A;7173;2391;14346
798;20249;Hamburg-Eppendorf;Kümmellstr. 4-8;14364;4788;47880
799;21465;Wentorf;Hamburger Landstr. 39;16779;5593;55930
800;22111;Hamburg-Horn;Rennbahnstr. 115;19200;9600;86400
801;21502;Geesthacht;Trift 33;30438;15219;136971
802;22041;Hamburg-Wandsbek;Brauhausstr. 23;67368;22456;112280
803;22303;Hamburg-Winterhude;Borgweg 2A;55407;18469;110814
804;22453;Hamburg-Niendorf;Kollaustr. 129-135;50652;16884;168840
805;22081;Hamburg-Barmbek;Dehnhaide 111;57960;19320;173880
806;25421;Pinneberg;Berliner Str. 31;35464;17732;177320
807;21039;Börnsen;Am Bornbusch 1;53262;17754;106524
808;22457;Hamburg-Schnelsen;Pinneberger Str. 16;25856;12928;129280
809;22305;Hamburg-Barmbek;Bramfelder Str. 58;21843;7281;72810
810;22459;Hamburg-Schnelsen;Frohmestr. 99-105;70470;23490;117450
811;22113;Oststeinbek;Gewerbering 7;35684;17842;107052
812;29410;Salzwedel;Arendseer Str. 8;29232;9744;68208
813;22307;Hamburg-Barmbek;Fuhlsbüttler Str. 184-186;29268;9756;58536
814;25421;PINNEBERG;FLENSBURGER str. 5;26862;8954;62678
815;22297;Hamburg-Großborstel;Alsterkrugchaussee 309;41565;13855;83130
816;21481;Lauenburg;Glüsinger Weg 1-7;63648;21216;212160
817;25436;Tornesch;Ohlenhoff 1;45752;22876;183008
818;22459;Hamburg;Sperberhorst 5-9;42536;21268;212680
819;22455;Hamburg-Niendorf;Sperberhorst 5-9;7371;2457;17199
820;22047;Hamburg-Wandsbek;Am Stadtrand 21;36900;12300;98400
821;27472;Cuxhaven-Groden;Grodener Chaussee 80;22988;11494;57470
822;22043;Hamburg-Jenfeld;Barsbütteler Str. 33;26304;13152;131520
823;21509;Glinde;Möllner Landstr. 119;4938;1646;13168
824;22179;Hamburg-Bramfeld;Haldesdorfer Str. 76;12360;4120;32960
825;22309;Hamburg-Appelhoff;Appelhoff 1;23100;11550;80850
826;27474;Cuxhaven-Süderwisch;Brockeswalder Chaussee 8;44604;22302;223020
827;25474;Bönningstedt;Kieler Str. 103-107;21502;10751;86008
828;25348;Glückstadt;Nordmarkstr. 12;36432;18216;182160
829;22045;Hamburg-Jenfeld;Schöneberger Str. 29;4974;2487;24870
830;21354;Bleckede;Nindorfer Moorweg 1;6640;3320;16600
831;22177;Hamburg;Bramfelder Chaussee 230-234;8310;4155;41550
832;22159;Hamburg-Farmsen;Ivo-Hauptmann-Ring 1;1664;832;5824
833;22045;Hamburg-Tonndorf;Tonndorfer Hauptstr. 173-177;33320;16660;116620
834;27472;Cuxhaven-Mitte;Grüner Weg 2-5;21684;10842;65052
835;27472;Cuxhaven-Döse;Feldweg 21;22545;7515;75150
836;25336;Elmshorn-Klostersande;Am Eiskeller 26;60192;20064;160512
837;22415;Hamburg-Langenhorn;Krohnstieg 55;72819;24273;218457
838;25336;Elmshorn;Hamburger Str. 207;41900;20950;167600
839;25337;Elmshorn-Industriegebiet;Hamburger Str. 207;48662;24331;243310
840;22159;Hamburg-Farmsen;August-Krogmann-Str. 192;10080;5040;30240
841;25335;Elmshorn;An der Ost-West Brücke 1;31958;15979;95874
842;22143;Hamburg-Rahlstedt;Sieker Landstr. 45;11788;5894;58940
843;29439;Lüchow;Seerauer Str. 39;37935;12645;75870
844;22850;Norderstedt;Kohfurth 5;6752;3376;16880
845;25451;Quickborn;Güttloh 7-9;63375;21125;190125
846;22145;Hamburg-Rahlstedt;Hellmesbergerweg 35;7614;2538;20304
847;22851;Norderstedt;Segeberger Chaussee 173-175;32186;16093;80465
848;21493;Schwarzenbek;Kerntangente 2;20352;10176;71232
849;29456;Hitzacker;Drawehner-Tor-Str. 53;33960;16980;169800
850;22359;Hamburg-Volksdorf;Claus-Ferck-Str. 35-37;76500;25500;255000
851;29451;Dannenberg;An den Ratswiesen 5;10212;5106;40848
852;25541;Brunsbüttel;Heisenbergstr. 8-10;25560;8520;59640
853;26757;Borkum;Ostfriesenstr. 1;25590;12795;115155
854;25355;Barmstedt;Königstr. 10-14;15372;5124;46116
855;22949;Ammersbek;Ferdinand-Harten-Str. 2-6;30780;10260;82080
856;22844;Norderstedt;Ulzburger Str. 446-454;17120;8560;85600
857;22397;Hamburg-Duvenstedt;Poppenbütteler Chaussee 35;33423;11141;66846
858;21514;Büchen;Büchener Str. 1;48906;16302;97812
859;22926;Ahrensburg;Hamburger Str. 65-71;10308;3436;30924
860;22962;Siek;Jacobsrade 56-66;8600;4300;38700
861;25709;Marne;Hafenstr. 16-18;59409;19803;198030
862;22946;Trittau;Poststr. 15-23;46548;23274;232740
863;24558;Henstedt-Ulzburg;Am Bahnbogen 8;72492;24164;193312
864;25524;Itzehoe;Carl-Zeiss-Str. 1;31104;10368;51840
865;22941;Bargteheide;Zu den Fischteichen 1A;36330;12110;72660
866;24568;Kaltenkirchen;Flottkamp 8;41568;20784;103920
867;25524;Itzehoe;Lise-Meitner-Str. 1;46818;23409;117045
868;23866;Nahe;Segeberger Str. 20;48608;24304;194432
869;23898;Sandesneben;Hauptstr. 81;22594;11297;56485
870;25548;Kellinghusen;An der Stör 4;31320;10440;104400
871;24576;Bad Bramstedt;Hamburger Str. 55;22646;11323;67938
872;23879;Mölln;Grambeker Weg 55-57;41856;20928;188352
873;25704;Meldorf;Ernst-Günther-Albers-Str. 11-15;75951;25317;151902
874;23843;Bad Oldesloe;Industriestr. 7;47196;15732;157320
875;25761;Büsum;Heider Str. 6;17500;8750;43750
876;23909;Ratzeburg;Bahnhofsallee 43;1752;876;8760
877;23858;Reinfeld;Hamburger Chaussee 15;29818;14909;149090
878;25767;Albersdorf;Süderstr. 38B;18438;6146;55314
879;24594;Hohenwestedt;Itzehoer Str. 42;18459;6153;36918
880;23812;Wahlstedt;Kronsheider Str. 20;10560;3520;24640
881;25746;Heide;Meldorfer Str. 151;15858;7929;71361
882;25746;Heide;Schanzenstr. 9;44100;22050;110250
883;23795;Bad Segeberg;Lindhofstr. 14;13245;4415;26490
884;25746;Wesseln;Von-Humboldt-Str. 1;22984;11492;91936
885;24647;Wasbek;Industriestr. 5;17700;8850;61950
886;24537;Neumünster-Faldera;Wasbeker Str. 335;39870;13290;79740
887;24534;Neumünster;Wasbeker Str. 335;30158;15079;75395
888;24539;Neumünster-Wittorf;Fehmarnstr. 13;31968;15984;159840
889;23568;Lübeck;Berliner Str. 14;48006;16002;112014
890;23556;Lübeck-Buntekuh;Ziegelstr. 113-119;40050;13350;133500
891;23558;Lübeck-St.Lorenz Süd;Moislinger Allee 54;33858;16929;118503
892;23562;Lübeck-St.Jürgen;Osterweide 12;41032;20516;102580
893;24536;Neumünster-Tungendorf;Stover Weg 2;3572;1786;17860
894;23556;Lübeck-St.Lorenz Nord;Krempelsdorfer Allee 32-36;53640;17880;107280
895;23566;Lübeck-Marli;Kantstr. 11;34905;11635;116350
896;25826;St.Peter-Ording;Nordergeest 3;12544;6272;62720
897;24589;Nortorf;Lohkamp 33-35;80730;26910;215280
898;24619;Bornhöved;Kieler Tor 25;32328;10776;75432
899;25832;Tönning;Dithmarscher str. 3;35061;11687;70122
900;24582;Bordesholm;Kieler Str. 48;54000;27000;189000
901;24803;Erfde;Heidkoppel 1;36040;18020;180200
902;23923;Schönberg;Dassower Str. 8B;51414;17138;154242
903;23623;Ahrensbök;Lübecker Str. 2;62307;20769;103845
904;23569;Lübeck-Kücknitz;Solmitzstr. 26;48816;24408;122040
905;24768;Rendsburg;Kreishafenstr. 5;3620;1810;14480
906;24787;Fockbek;Rendsburger Str. 31-33;50736;25368;202944
907;25840;Friedrichstadt;Van-Wouwer-Str. 2;14512;7256;36280
908;24783;Osterrönfeld;August-Borsig-Str. 1;21792;10896;87168
909;24768;Rendsburg;Schleswiger Chaussee 31-35;3636;1818;14544
910;23570;Lübeck-Travemünde;Gneversdorfer Weg 28;29120;14560;72800
911;24782;Büdelsdorf;Sportallee 3;54660;18220;182200
912;24306;Plön;Bullenwarder;31008;15504;93024
913;24113;Molfsee;Hamburger Landstr. 110;25564;12782;89474
914;23936;Grevesmühlen;Ziegelhof 2;34732;17366;173660
915;23701;Eutin;Plöner Landstr. 9;27450;9150;54900
916;24211;Preetz;Lindenstr. 80;82440;27480;164880
917;23701;Eutin;Bürgermeister-Steenbock-Str. 22-24;24759;8253;66024
918;24111;Kiel-Russee;Rendsburger Landstr. 360;51408;25704;179928
919;24848;Kropp;Industriestr. 2;22056;7352;66168
920;25813;Husum-Ostenfeld;Ostenfelder Str. 72;38640;19320;193200
921;24113;Kiel-Gaarden Süd;Stormarnstr. 33;58023;19341;193410
922;24147;Kiel-Elmschenhagen;Preetzer Str. 306;33192;16596;132768
923;24223;Raisdorf;Mergenthaler Str. 24;47996;23998;167986
924;24114;Kiel-Südfriedhof;Kirchhofallee 68;27720;9240;92400
925;23730;Neustadt/ Holstein;Eutiner Str. 71;42550;21275;170200
926;24143;Kiel-Gaarden Ost;Werftstr. 197;58338;19446;97230
927;25813;Husum;Dieselstr. 9;11124;3708;22248
928;24119;Kronshagen;Kieler Str. 32-38;69600;23200;232000
929;23730;Neustadt/ Holstein;Oldenburger Str. 34;24154;12077;72462
930;24148;Kiel-Wellingdorf;Wischhofstr. 80;8370;2790;13950
931;23948;Klütz;Boltenhagener Str. 10B;39102;19551;195510
932;24214;Gettorf;Ravensberg 14-16;33552;11184;100656
933;24340;Eckernförde;Sauerstr. 6A;41052;20526;143682
934;23970;Wismar-Rothentor;Am kleinen Stadtfeld 8;33624;11208;78456
935;23966;Wismar-Friedenshof;Lübsche Str. 203;33660;16830;151470
936;24159;Kiel-Friedrichsort;Falckensteiner Str. 40;24336;12168;60840
937;24837;Schleswig;Lattenkamp 2;8433;2811;25299
938;24340;Eckernförde;Ostlandstr. 98;52528;26264;157584
939;24321;Lütjenburg;Königsberger Str. 1;81693;27231;163386
940;23970;Wismar-Nord;Am Wiesengrund 3;53580;17860;89300
941;25821;Breklum;Husumer Str. 65;39522;13174;105392
942;23738;Lensahn;Lübecker Straße;22608;11304;101736
943;24217;Schönberg;Große Mühlenstr. 51;30176;15088;135792
944;24860;Böklund;Pöttacker 2;73632;24544;147264
945;25938;Wyk auf Föhr;Hemkweg 6;34020;17010;119070
946;23758;Oldenburg/ Holstein;Am Vossberg 3;48246;16082;112574
947;24963;Tarp;Wanderuper Str. 11;85230;28410;255690
948;24392;Süderbrarup;Schleswiger Str. 5;45504;15168;136512
949;24376;Kappeln;Bernard-Liening-Str. 13;18980;9490;47450
950;25899;Niebüll;Bahnhofstr. 36;76950;25650;205200
951;24980;Schafflund;Osterfeld 2;45648;15216;121728
952;25917;Leck;Industriestr. 28;59976;19992;179928
953;23774;Heiligenhafen;Sundweg 113;57180;19060;152480
954;24966;Sörup;Tarper Str. 9;34344;11448;91584
955;24983;Handewitt;Raiffeisenstr. 8;55390;27695;138475
956;24941;Flensburg-Rude;Zur Bleiche 4;5736;1912;17208
957;24937;Flensburg-Friesischer Berg;Friesische Str. 171-191;7656;3828;38280
958;24939;Flensburg-Duburg;Neustadt 23;55564;27782;250038
959;24955;Harrislee;Musbeker Weg 1B;1918;959;9590
960;24943;Flensburg-Engelsby;Merkurstr. 24;26880;13440;107520
961;24395;Gelting;Nordstr. 2;57660;19220;96100
962;24999;Wees;Birkland 1;25012;12506;75036
963;25923;Süderlügum;Hauptstr. 38;1926;963;4815
964;25980;Sylt-Tinnum;Kiarwai 18-24;23136;7712;61696
965;23769;Burg/ Fehmarn;Landkirchener Weg 38-40;2895;965;4825
966;33613;Bielefeld-Mitte;Jöllenbecker Str. 41;13524;6762;54096
967;33613;Bielefeld-Schildesche;Babenhauser Str. 18;25142;12571;125710
968;33609;Bielefeld-Schildesche;Stadtheider Str. 11;31944;10648;85184
969;33607;Bielefeld-Mitte;Heeper Str. 113;29070;9690;87210
970;33719;Bielefeld-Oldentrup;Oldentruper Str. 255;31040;15520;108640
971;33647;Bielefeld-Brackwede;Kimbernstr. 1;5826;2913;20391
972;33699;Bielefeld-Hillegossen;Detmolder Str. 550;64152;21384;128304
973;33803;Steinhagen;Bahnhofstr. 21A;44758;22379;134274
974;33649;Bielefeld-Ummeln;Gütersloher Str. 299;78894;26298;157788
975;33689;Bielefeld-Sennestadt;Industriestr. 8;58500;19500;97500
976;33790;Halle/ Westfalen;Elsa-Brandström-Str. 1;87840;29280;175680
977;32139;Spenge;Lange Str. 35-37;5862;2931;20517
978;32130;Enger;Lambernweg 46;2934;978;8802
979;32051;Herford;Westring 70;5874;1958;9790
980;33818;Leopoldshöhe;Krentruper Str. 34;54880;27440;274400
981;32049;Herford;Mindener Str. 69;33354;16677;150093
982;32105;Bad Salzuflen;Herforder Str. 82;13748;6874;34370
983;32120;Hiddenhausen;Bünder Str. 256;53082;26541;132705
984;32105;Bad Salzuflen;Hoffmannstr. 19;9840;4920;34440
985;32257;Bünde;Herforder Str. 13;35460;17730;88650
986;33758;Schloß Holte-Stukenbrock;Lüchtenstr. 61;29580;9860;49300
987;33332;Gütersloh-Sundern;Carl-Bertelsmann-Str. 152;79947;26649;159894
988;32257;Bünde-Spradow;Lübbecker Str. 74;25688;12844;89908
989;33415;Verl;Westring 11;31648;15824;158240
990;32278;Kirchlengern;Lübbecker Str. 149;21780;10890;108900
991;33332;Gütersloh-Kattenstroth;Neuenkirchener Str. 100;83244;27748;277480
992;33334;Gütersloh;Auf dem Stempel 10;23808;7936;39680
993;32791;Lage;Triftenstr. 76;56601;18867;94335
994;32584;Löhne;Alte Bünder Str. 16;55664;27832;250488
995;33428;Harsewinkel;Berliner Ring 40;29850;9950;89550
996;32758;Detmold-Heidenoldendorf;Adolf-Meier-Str. 38;8964;2988;29880
997;32657;Lemgo;Herforder Str. 71;23928;11964;59820
998;32756;Detmold-Süd;Sprottauer Str. 1;59880;29940;299400
999;32602;Vlotho;Meyrastr. 1;2997;999;5994
1000;32547;Bad Oeynhausen-Süd;Weserstr. 61;46000;23000;115000
1001;33397;Rietberg;Am Bahnhof 4;90090;30030;300300
1002;33775;Versmold;Knetterhauser Str. 15;24048;8016;80160
1003;32549;Bad Oeynhausen-Eidinghausen;Dingelkamp 2;72216;24072;240720
1004;32756;Detmold;Anne-Frank-Str. 7;2008;1004;9036
1005;33378;Rheda-Wiedenbrück;Feldhüserweg 20;84420;28140;253260
1006;32361;Preussisch Oldendorf;Mindener Straße;87522;29174;175044
1007;32361;Preußisch Oldendorf;Marktstr. 2;39273;13091;65455
1008;32312;Lübbecke;Am Hahlerbaum 1;58464;29232;204624
1009;32312;Luebbecke;Am Bahnhof 36;14126;7063;56504
1010;33129;Delbrück;Brenkenkamp 4;8080;4040;40400
1011;32805;Horn-Bad Meinberg;Bahnhofstr. 44;3033;1011;10110
1012;33104;Paderborn-Schloß Neuhaus;Hatzfelder Str. 73;27324;9108;72864
1013;33175;Bad Lippspringe;An der Weberei 2;20260;10130;50650
1014;32457;Porta Westfalica-Barkhausen;Portastr. 119;50700;25350;228150
1015;32479;Hille;Mindener Str. 94-96;60900;30450;213150
1016;32457;Porta Westfalica-Neesen;Zur Porta 1;28448;14224;128016
1017;32427;Minden;Königstr. 170A;48816;24408;244080
1018;33102;Paderborn;Schwabenweg 81;3054;1018;7126
1019;33106;Paderborn-Elsen;Meßdornstr. 3;51969;17323;138584
1020;32339;Espelkamp;Gerhard-Wetzel-Str. 9;46920;23460;164220
1021;33102;Paderborn;Neuhäuser Str. 127;70449;23483;164381
1022;32427;Minden;Stiftstr. 51-53;18396;6132;61320
1023;32423;Minden;Viktoriastr. 39-41;36828;12276;98208
1024;33102;Paderborn;Bahnhofstr. 84;40960;20480;204800
1025;32699;Bösingfeld;Breslauer Str. 8;43050;14350;86100
1026;32825;Blomberg;Alter Dreschplatz 2;61560;30780;277020
1027;32683;Barntrup;Alverdisser Str. 30;47242;23621;236210
1028;31737;Rinteln;Bahnhofsallee 5;55512;27756;194292
1029;33106;Paderborn;Dessauer Str. 2;24696;12348;74088
1030;33100;Paderborn;Warburger Str. 130;4120;2060;16480
1031;33106;Paderborn;Navarrastr. 37;35054;17527;175270
1032;33154;Salzkotten;Geseker Str. 30;6192;2064;18576
1033;32839;Steinheim;Lipper Tor 4;80574;26858;214864
1034;31675;Bückeburg;Hannoversche Str. 18;49632;16544;115808
1035;32369;Rahden;Eisenbahnstr. 20;12420;4140;41400
1036;33178;Borchen;Bahnhofstr. 1;21756;7252;65268
1037;31683;Obernkirchen;Vehlener Str. 13;83997;27999;223992
1038;33014;Bad Driburg;Mühlenstr. 12;40482;13494;107952
1039;32469;Petershagen-Lahde;Dingbreite 1;31170;10390;83120
1040;31693;Hespe-Stemmen;Hesper Str. 33;87360;29120;262080
1041;31840;Hessisch Oldendorf;Münchhausenring 6;46845;15615;78075
1042;31812;Bad Pyrmont;Bahnhofstr. 63;50016;16672;166720
1043;33142;Büren;Bahnhofstr. 41;46935;15645;78225
1044;31655;Stadthagen;Breslauer str. 4;78300;26100;156600
1045;31600;Uchte;Mühlenstr. 6-10;50160;25080;225720
1046;31789;Hameln-Klein Berkel;Nienstedter Weg 2;59622;19874;139118
1047;31787;Hameln-Nordstadt;Reimerdeskamp 9;4188;2094;20940
1048;31789;Hameln-Gewerbegebiet;Ohsener Str. 11;50304;25152;125760
1049;31785;Hameln;Ohsener Str. 11;20980;10490;83920
1050;33034;Brakel;Warburger Str. 17;56700;18900;170100
1051;31785;Hameln;Deisterstr. 85;22071;7357;58856
1052;31860;Emmerthal-Kirchohsen;Hauptstr. 57-63;39976;19988;159904
1053;37671;Höxter;Lütmarser Str. 76;85293;28431;142155
1054;31592;Stolzenau;Auf dem Weinberge 2;35836;17918;107508
1055;31848;Bad Münder;Am Rohmel-Center 1;2110;1055;8440
1056;31542;Bad Nenndorf;Gehrenbreite 6;50688;25344;126720
1057;37619;Bodenwerder;Ernst-Reuter-Str. 9;48622;24311;121555
1058;37603;Holzminden;Allersheimer Str. 38;15870;5290;52900
1059;34431;Marsberg;Bahnstr. 3;25416;8472;50832
1060;30890;Barsinghausen;Steinklippen Str. 7;44520;14840;89040
1061;37688;Beverungen;Blankenauer Str. 10;25464;12732;89124
1062;31832;Springe;Am Kalkwerk 2A;27612;13806;138060
1063;31515;Wunstorf-Steinhude;Großenheidorner Str. 1;19134;9567;86103
1064;34414;Warburg;Paderborner Tor 144;38304;19152;153216
1065;31515;Wunstorf;Hagenburger Str. 6;83070;27690;276900
1066;31515;Wunstorf;Industriestr. 8;25584;12792;115128
1067;31515;Wunstorf;Adolf-Oesterheld-Str. 32;64020;21340;128040
1068;37627;Stadtoldendorf;Neue Str. 38;12816;4272;29904
1069;31582;Nienburg;Göttinger Str. 1;59864;29932;149660
1070;34454;Bad Arolsen;Bahnhofstr. 64-66;42800;21400;107000
1071;31535;Neustadt/ Rübenberge;Landwehr 9;49266;24633;197064
1072;31582;Nienburg;Verdener Landstr. 62;57888;28944;289440
1073;31535;Neustadt/ Rübenberge;Justus-von-Liebig-Str. 21;34336;17168;103008
1074;30926;Seelze;Hannoversche Str. 81A;42960;21480;193320
1075;34508;Willingen;Briloner Str. 72;8600;4300;38700
1076;30823;Garbsen;Auf der Horst 66-70;87156;29052;145260
1077;37586;Dassel;Ilmestr. 20;25848;12924;103392
1078;34369;Hofgeismar;Industriestr. 6;49588;24794;247940
1079;30453;Hannover-Ahlem;Gartenstr. 30;87399;29133;262197
1080;30457;Hannover-Mühlenberg;Tresckowstr. 43;42120;14040;84240
1081;30827;Garbsen-Berenbostel;Siemensstr. 2;6486;2162;12972
1082;31028;Gronau;Bethelner Landstr. 15;16230;5410;43280
1083;31171;Nordstemmen;Hauptstr. 47-50;49818;24909;249090
1084;37170;Uslar;Wiesenstr. 29;30352;15176;121408
1085;30419;Hannover-Stöcken;Alte Stöckener Str. 95-97;29295;9765;97650
1086;30459;Hannover-Ricklingen;Tillystr. 31;32580;16290;146610
1087;30966;Hemmingen;Weetzener Landstr. 102;35871;11957;71742
1088;31061;Alfeld/ Leine;Hannoversche Str. 46;71808;23936;239360
1089;30449;Hannover-Linden;Bardowicker Str. 12;13068;6534;39204
1090;30982;Pattensen;Göttinger Str. 11-13;71940;23980;143880
1091;34497;Korbach;Arolser Landstr. 35;16365;5455;32730
1092;34497;Korbach;Medebacher Landstr. 23;8736;4368;26208
1093;30165;Hannover-Hainholz;Hüttenstr. 23;98370;32790;229530
1094;30161;Hannover-Oststadt;Niki-de-Saint-Phalle-Promenade 86;22974;7658;68922
1095;30519;Hannover-Döhren;Hildesheimer Str. 213-219;98550;32850;295650
1096;30519;Hannover;Hildesheimer Str. 428;23016;7672;69048
1097;30163;Hannover-Vahrenwald;Dragonerstr. 39;15358;7679;76790
1098;30173;Hannover-Südstadt;Spielhagenstr. 20;49410;16470;115290
1099;34466;Wolfhagen;Lynkerstr. 18;65940;32970;263760
1100;30880;Laatzen;Pettenkoferstr. 2D;29700;9900;69300
1101;30853;Langenhagen;Straßburger Platz 20-25;33030;11010;55050
1102;30851;Langenhagen;Straßburger Platz 20-25;33060;11020;55100
1103;30179;Hannover-Vahrenheide;Dresdener Str. 3;6618;3309;16545
1104;30177;Hannover-List;Am Listholze 54;92736;30912;185472
1105;31157;Sarstedt;Vosstr. 12;35360;17680;141440
1106;30539;Hannover-Bemerode;Wülfeler Str. 78;44240;22120;154840
1107;34513;Waldeck-Sachsenhausen;Wildunger Str. 30-32;69741;23247;139482
1108;31137;Hildesheim-Himmelsthür;Von-Ketteler-Str. 24;96396;32132;192792
1109;37574;Einbeck;Grimsehlstr. 22-24;49905;16635;83175
1110;30659;Hannover-Bothfeld;Eichenweg 1;69930;23310;116550
1111;31139;Hildesheim-Ochtersum;Rex-Brauns-Str. 6;3333;1111;6666
1112;31137;Hildesheim-Nord;Steuerwalder Str. 31;56712;18904;113424
1113;30629;Hannover-Misburg;Brucknerring 1;15582;7791;38955
1114;30629;Hannover-Misburg;Anderter Str. 81;57928;28964;231712
1115;31137;Hildesheim-Ost;Drispenstedter Str. 2;4460;2230;20070
1116;31135;Hildesheim-Ost;Frankenstr. 2C;77004;25668;205344
1117;34246;Vellmar;Harleshäuser Str. 21;10053;3351;16755
1118;30900;Wedemark-Mellendorf;Wedemarkstr. 85;6708;3354;30186
1119;31162;Bad Salzdetfurth;Bodenburger Str. 22;4476;2238;15666
1120;31319;Sehnde;Nordstr. 20;38080;19040;114240
1121;34127;Kassel-Wartenberg;Bunsenstr. 105;100890;33630;269040
1122;34127;Kassel-Rothenditmold;Wolfhager Str. 201;2244;1122;10098
1123;37581;Bad Gandersheim;Holzmindener Str. 2;38182;19091;114546
1124;34127;Kassel;Quellhofstr. 22;49456;24728;173096
1125;34125;Kassel-Fasanenhof;Ihringshäuser Str. 151;94500;31500;283500
1126;34121;Kassel-Wehlheiden;Kohlenstr. 75;60804;20268;141876
1127;37127;Dransfeld;Wolfshof 2;9016;4508;45080
1128;34117;Kassel-Mitte;Obere Königsstr. 39;54144;18048;144384
1129;34346;Hannoversch Münden;Hedemündener Str. 19;74514;24838;198704
1130;34125;Kassel-Wesertor;Ostring 62A;33900;16950;118650
1131;31275;Lehrte;Burgdorfer Str. 72-80;22620;11310;113100
1132;34134;Kassel;Brückenhofstr. 77;23772;7924;47544
1133;34132;Kassel-Oberzwehren;Brückenhofstr. 77;52118;26059;208472
1134;34125;Kassel-Unterneustadt;Hafenstr. 5;10206;3402;30618
1135;34134;Kassel-Niederzwehren;Frankfurter Str. 215-217;27240;13620;108960
1136;34266;Niestetal-Sandershausen;Egon-Höhmann-Str. 2;15904;7952;63616
1137;37176;Nörten-Hardenberg;Göttinger Str. 34;61398;30699;306990
1138;31249;Hohenhameln;Marktstr. 28-30;29588;14794;118352
1139;34123;Kassel-Bettenhausen;Ochshäuser Str. 6;6834;2278;15946
1140;37154;Northeim;Nordhäuser Weg 11;41040;13680;136800
1141;37081;Göttingen;Industriestr. 4a;66178;33089;198534
1142;37079;Göttingen-Grone;Industriestr. 4A;43396;21698;130188
1143;31167;Bockenem;Schlangenweg 48;37719;12573;62865
1144;34295;Edermünde-Holzhausen;Lange Heideteile 11;85800;28600;257400
1145;34537;Bad Wildungen;Itzelstr. 34;38930;19465;155720
1146;31303;Burgdorf;Ostlandring 2;61884;30942;278478
1147;35066;Frankenberg;Röddenauer Str. 18;86025;28675;143375
1148;37075;Göttingen-Nordstadt;Annastr. 36;2296;1148;5740
1149;37124;Rosdorf;Rischenweg 6;6894;3447;24129
1150;35108;Allendorf/ Eder-Battenfeld;Ringstr. 3;89700;29900;269100
1151;38723;Seesen;Braunschweiger Str. 45;20718;10359;93231
1152;34560;Fritzlar;Waberner Str. 8;72576;24192;145152
1153;31241;Ilsede-Groß Ilsede;Zum Wasserturm;50732;25366;202928
1154;37213;Witzenhausen;Laubenweg 5;10386;3462;20772
1155;31226;Peine-Kernstadt Süd;Braunschweiger Str. 120;72765;24255;121275
1156;38228;Salzgitter-Lebenstedt;Kurt-Schumacher-Ring 102;11560;5780;34680
1157;31228;Peine-Stederdorf;Daimlerstr. 2;55536;18512;148096
1158;34582;Borken;Am Bahnhof 3-5;11580;5790;28950
1159;31311;Uetze;Schapers Kamp 3;67222;33611;268888
1160;38268;Lengede;Am Kreisel 1C;67280;33640;336400
1161;37520;Osterode;Seesener Str. 25B;87075;29025;290250
1162;34212;Melsungen;Hilgershäuser Weg 5;62748;31374;250992
1163;31234;Edemissen;Peiner Str. 30D;80247;26749;213992
1164;37235;Hessisch Lichtenau;Am Lohwasser 6-8;20952;6984;62856
1165;38226;Salzgitter-Lebenstedt;Ludwig-Erhard-Str. 28;39610;19805;138635
1166;37434;Gieboldehausen;Stockenbreite 1;52470;17490;122430
1167;38259;Salzgitter-Bad;An der Erzbahn 4;35010;11670;93360
